Translate__	SetDefaultLanguage__	ustaw język na italian 	 o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw język tłumaczenia na french 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw język docelowy na english 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw język wyjścia na japanease 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw domyślny język na russian 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw domyślny język tłumaczenia na polish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw domyślny język docelowy na german 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	ustaw domyślny język wyjścia na spanish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw język na thai 	 o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw język tłumaczenia na czech 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw język docelowy na finish 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw język wyjścia na esperanto 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw domyślny język na turkish 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw domyślny język tłumaczenia na greek 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw domyślny język docelowy na mongolian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	nastaw domyślny język wyjścia na hawaiian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz język na hindi 	 o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz język tłumaczenia na icelandic 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz język docelowy na italian 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz język wyjścia na french 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz domyślny język na english 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz domyślny język tłumaczenia na japanease 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz domyślny język docelowy na russian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	przełącz domyślny język wyjścia na polish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	ustaw język wejściowy na german 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	ustaw język wejścia na spanish 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	ustaw domyślny język wejściowy na thai 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	ustaw domyślny język wejścia na czech 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	nastaw język wejściowy na finish 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	nastaw język wejścia na esperanto 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	nastaw domyślny język wejściowy na turkish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	nastaw domyślny język wejścia na greek 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	przełącz język wejściowy na mongolian 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	przełącz język wejścia na hawaiian 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	przełącz domyślny język wejściowy na hindi 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	przełącz domyślny język wejścia na icelandic 	 o o o o o b-all_lang
Translate__	TranslateText__	tłumaczenie do you have this in my size 	 o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jakie jest tłumaczenie can you change a traveller's check for me 	 o o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	przetłumacz do you have anything quieter 	 o b-text.en i-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	przetłumacz zdanie take me there please 	 o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	przetłumacz to what is your name 	 o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak przetłumaczyć in the afternoon 	 o o b-text.en i-text.en i-text.en
Translate__	TranslateText__	jak przetłumaczyć to zdanie january 	 o o o o b-text.en
Translate__	TranslateText__	jak przetłumaczyć to dark 	 o o o b-text.en
Translate__	TranslateText__	jak przetłumaczyć zdanie i lost my bag 	 o o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak mogę przetłumaczyć ok i'll take it 	 o o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak mogę przetłumaczyć to zdanie i am an american citizen 	 o o o o o b-text.en i-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak mogę przetłumaczyć to i don't want it 	 o o o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak mogę przetłumaczyć zdanie west 	 o o o o b-text.en
Translate__	TranslateText__	jak możesz przetłumaczyć can i look at the menu please 	 o o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak możesz przetłumaczyć to zdanie bus and train 	 o o o o o b-text.en i-text.en i-text.en
Translate__	TranslateText__	jak możesz przetłumaczyć to how much is that 	 o o o o b-text.en i-text.en i-text.en i-text.en
Translate__	TranslateText__	jak możesz przetłumaczyć zdanie i don't understand 	 o o o o b-text.en i-text.en i-text.en
Translate__	TranslateTextToLanguage__	jakie jest tłumaczenie na that's too expensive zdania polish 	 o o o o b-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	jakie jest tłumaczenie na język red zdania german 	 o o o o o b-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	powiedz i've been injured po spanish 	 o b-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	powiedz white w języku thai 	 o b-text.en o o b-trg_lang
Translate__	TranslateTextToLanguage__	tłumacz can i have a bag na czech 	 o b-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	przetłumacz i need toothpaste na finish 	 o b-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	tłumaczenie excuse me waiter na polish 	 o b-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	can you change money for me po german 	 b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	saturday w języku spanish 	 b-text.en o o b-trg_lang
Translate__	TranslateTextToLanguage__	jak powiem where is the toilet po thai 	 o o b-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	jak powiem is breakfast included w języku czech 	 o o b-text.en i-text.en i-text.en o o b-trg_lang
Translate__	TranslateTextToLanguage__	jak powiesz i need an english-language newspaper po finish 	 o o b-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	jak powiesz hi how are you w języku polish 	 o o b-text.en i-text.en i-text.en i-text.en o o b-trg_lang
Translate__	TranslateTextToLanguage__	jak przetłumaczysz noodles po german 	 o o b-text.en o b-trg_lang
Translate__	TranslateTextToLanguage__	jak przetłumaczysz do you speak english w języku spanish 	 o o b-text.en i-text.en i-text.en i-text.en o o b-trg_lang
Translate__	TranslateTextFromLanguageToLanguage__	tłumaczenie TRANSLATE.SLOT.TEXT z italian na thai 	 o o o b-src_lang o b-trg_lang
Translate__	TranslateTextFromLanguageToLanguage__	jakie jest tłumaczenie TRANSLATE.SLOT.TEXT z french na czech 	 o o o o o b-src_lang o b-trg_lang
Translate__	TranslateTextFromLanguageToLanguageWithEngine__	tłumaczenie TRANSLATE.SLOT.TEXT z english na finish przy użyciu yandex 	 o o o b-src_lang o b-trg_lang o o b-translator
Translate__	TranslateTextFromLanguageToLanguageWithEngine__	jakie jest tłumaczenie TRANSLATE.SLOT.TEXT z japanease na polish przy użyciu google 	 o o o o o b-src_lang o b-trg_lang o o b-translator
Translate__	TranslateToLanguage__	tłumacz na german 	 o o b-trg_lang
Translate__	TranslateToLanguage__	tłumacz na język spanish 	 o o o b-trg_lang
Translate__	TranslateToLanguage__	przetłumacz na thai 	 o o b-trg_lang
Translate__	TranslateToLanguage__	przetłumacz na język czech 	 o o o b-trg_lang
Translate__	TranslateToLanguage__	tłumaczenie na finish 	 o o b-trg_lang
Translate__	TranslateToLanguage__	tłumaczenie na język polish 	 o o o b-trg_lang
Translate__	TranslateToLanguage__	wykonaj tłumaczenie na german 	 o o o b-trg_lang
Translate__	TranslateToLanguage__	wykonaj tłumaczenie na język spanish 	 o o o o b-trg_lang
Translate__	TranslateTextFromLanguage__	tłumacz TRANSLATE.SLOT.TEXT z russian 	 o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz TRANSLATE.SLOT.TEXT z języka italian 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz zdania TRANSLATE.SLOT.TEXT z french 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz zdania TRANSLATE.SLOT.TEXT z języka english 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz tego TRANSLATE.SLOT.TEXT z japanease 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz tego TRANSLATE.SLOT.TEXT z języka russian 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumacz z italian zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumacz z french tego zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	tłumacz z english tego TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumacz z języka japanease zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumacz z języka russian tego zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	tłumacz z języka italian tego TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	przetłumacz TRANSLATE.SLOT.TEXT z french 	 o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz TRANSLATE.SLOT.TEXT z języka english 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz zdania TRANSLATE.SLOT.TEXT z japanease 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz zdania TRANSLATE.SLOT.TEXT z języka russian 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz tego TRANSLATE.SLOT.TEXT z italian 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz tego TRANSLATE.SLOT.TEXT z języka french 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	przetłumacz z english zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	przetłumacz z japanease tego zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	przetłumacz z russian tego TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	przetłumacz z języka italian zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	przetłumacz z języka french tego zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	przetłumacz z języka english tego TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumaczenie TRANSLATE.SLOT.TEXT z japanease 	 o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie TRANSLATE.SLOT.TEXT z języka russian 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie zdania TRANSLATE.SLOT.TEXT z italian 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie zdania TRANSLATE.SLOT.TEXT z języka french 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie tego TRANSLATE.SLOT.TEXT z english 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie tego TRANSLATE.SLOT.TEXT z języka japanease 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	tłumaczenie z russian zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumaczenie z italian tego zdania TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	tłumaczenie z french tego TRANSLATE.SLOT.TEXT 	 o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumaczenie z języka english zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	tłumaczenie z języka japanease tego zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	tłumaczenie z języka russian tego TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie TRANSLATE.SLOT.TEXT z italian 	 o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie TRANSLATE.SLOT.TEXT z języka french 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie zdania TRANSLATE.SLOT.TEXT z english 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie zdania TRANSLATE.SLOT.TEXT z języka japanease 	 o o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie tego TRANSLATE.SLOT.TEXT z russian 	 o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie tego TRANSLATE.SLOT.TEXT z języka italian 	 o o o o o o b-src_lang
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z french zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z english tego zdania TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z japanease tego TRANSLATE.SLOT.TEXT 	 o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z języka russian zdania TRANSLATE.SLOT.TEXT 	 o o o o b-src_lang o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z języka italian tego zdania TRANSLATE.SLOT.TEXT 	 o o o o b-src_lang o o o
Translate__	TranslateTextFromLanguage__	wykonaj tłumaczenie z języka french tego TRANSLATE.SLOT.TEXT 	 o o o o b-src_lang o o
Translate__	DetectLanguage__	w jakim to języku i want to rent a car 	 o o o o b-text.multi i-text.multi i-text.multi i-text.multi i-text.multi i-text.multi
Translate__	DetectLanguage__	jaki to język adiós 	 o o o b-text.multi
Translate__	DetectLanguage__	co to za język sausage 	 o o o o b-text.multi
Translate__	DetectLanguage__	wykryj w jakim to języku julio 	 o o o o o b-text.multi
Translate__	DetectLanguage__	wykryj jaki to język i need postage stamps 	 o o o o b-text.multi i-text.multi i-text.multi i-text.multi
Translate__	DetectLanguage__	wykryj co to za język podría usted hablar más lento por favor 	 o o o o o b-text.multi i-text.multi i-text.multi i-text.multi i-text.multi i-text.multi i-text.multi
Translate__	DetectLanguage__	powiedz w jakim to języku grigio 	 o o o o o b-text.multi
Translate__	DetectLanguage__	powiedz jaki to język today 	 o o o o b-text.multi
Translate__	DetectLanguage__	powiedz co to za język lunch 	 o o o o o b-text.multi
Translate__	DetectLanguage__	powiedz mi w jakim to języku mille 	 o o o o o o b-text.multi
Translate__	DetectLanguage__	powiedz mi jaki to język je ne suis pas intéressé 	 o o o o o b-text.multi i-text.multi i-text.multi i-text.multi i-text.multi
Translate__	DetectLanguage__	powiedz mi co to za język le quattordici 	 o o o o o o b-text.multi i-text.multi
